transaction_id,customer_id,region,amount,product
T0039,C00736,R016,7638,Sandwich
T0039,C00736,R016,7137,Bagel
T0040,C00670,R027,10796,Cappuccino
T0040,C00670,R027,6566,Scone
T0040,C00670,R027,3694,Muffin
T0041,C00109,R012,9212,Scone
T0041,C00109,R012,8828,Cappuccino
T0042,C00419,R011,7919,Americano
T0042,C00419,R011,11851,Espresso
T0043,C00986,R021,3017,Cappuccino
T0043,C00986,R021,10586,Scone
T0043,C00986,R021,5855,Mocha
T0044,C00139,R008,3460,Sandwich
T0044,C00139,R008,9381,Espresso
T0044,C00139,R008,6879,Scone
T0045,C00202,R013,10479,Bagel
T0045,C00202,R013,9104,Latte
T0046,C00593,R021,7821,Bagel
T0046,C00593,R021,6318,Muffin
T0047,C00013,R015,11529,Latte
T0047,C00013,R015,7142,Sandwich
T0047,C00013,R015,9060,Bagel
T0048,C00082,R016,6487,Muffin
T0048,C00082,R016,10902,Croissant
T0049,C00273,R024,6630,Mocha
T0049,C00273,R024,9776,Bagel
T0049,C00273,R024,6515,Croissant
T0050,C00421,R002,5935,Americano
T0050,C00421,R002,5576,Latte
T0050,C00421,R002,11163,Mocha
T0051,C00522,R006,8285,Bagel
T0051,C00522,R006,5660,Croissant
T0051,C00522,R006,4517,Scone
T0052,C00624,R002,9409,Americano
T0052,C00624,R002,5142,Bagel
T0053,C00910,R024,11906,Scone
T0053,C00910,R024,10747,Sandwich
T0054,C00442,R027,11339,Scone
T0054,C00442,R027,6901,Latte
T0055,C00707,R006,5624,Bagel
T0055,C00707,R006,6561,Latte
T0055,C00707,R006,4391,Espresso
T0056,C00466,R027,5840,Latte
T0056,C00466,R027,10391,Cappuccino
T0057,C00534,R022,10316,Scone
T0057,C00534,R022,9907,Sandwich
T0057,C00534,R022,11586,Espresso
T0058,C00283,R016,10605,Cappuccino
T0058,C00283,R016,4152,Bagel
T0059,C00147,R002,10873,Bagel
T0059,C00147,R002,5923,Scone
T0060,C00904,R023,4608,Mocha
T0060,C00904,R023,5319,Muffin
T0060,C00904,R023,10604,Scone
T0061,C00990,R013,5432,Cappuccino
T0061,C00990,R013,6326,Bagel
T0062,C00384,R020,5238,Espresso
T0062,C00384,R020,11491,Cappuccino
T0063,C00639,R008,3452,Scone
T0063,C00639,R008,4925,Americano
T0063,C00639,R008,7585,Espresso
T0064,C00454,R012,3963,Scone
T0064,C00454,R012,10571,Espresso
T0064,C00454,R012,4565,Latte
T0065,C00905,R022,8575,Bagel
T0065,C00905,R022,7789,Mocha
T0066,C00475,R008,4616,Latte
T0066,C00475,R008,10032,Americano
T0066,C00475,R008,3529,Scone
T0067,C00755,R007,7573,Latte
T0067,C00755,R007,4717,Cappuccino
T0068,C00360,R012,6145,Cappuccino
T0068,C00360,R012,6998,Latte
T0068,C00360,R012,9178,Scone
T0069,C00486,R024,10127,Espresso
T0069,C00486,R024,3795,Mocha
T0069,C00486,R024,7608,Croissant
T0070,C00320,R001,11200,Muffin
T0070,C00320,R001,5397,Latte
T0070,C00320,R001,6473,Croissant
T0071,C00854,R028,8097,Cappuccino
T0071,C00854,R028,5615,Mocha
T0071,C00854,R028,7083,Espresso
T0072,C00656,R016,9223,Bagel
T0072,C00656,R016,11721,Cappuccino
T0072,C00656,R016,3179,Scone
T0073,C00199,R021,9687,Espresso
T0073,C00199,R021,6732,Mocha
T0073,C00199,R021,6451,Americano
T0074,C00283,R012,5903,Scone
T0074,C00283,R012,6080,Espresso
T0074,C00283,R012,5591,Latte
T0075,C00955,R013,10645,Croissant
T0075,C00955,R013,3786,Bagel
T0075,C00955,R013,8985,Latte
T0076,C00467,R017,10754,Sandwich
T0076,C00467,R017,9237,Cappuccino
T0076,C00467,R017,11977,Espresso
T0077,C00436,R003,6569,Mocha
T0077,C00436,R003,8586,Sandwich
T0077,C00436,R003,4190,Cappuccino
T0078,C00322,R004,4978,Cappuccino
T0078,C00322,R004,10609,Scone
T0079,C00715,R003,6186,Muffin
T0079,C00715,R003,4645,Latte
T0080,C00674,R002,3477,Latte
T0080,C00674,R002,9465,Espresso
T0081,C00759,R027,5664,Espresso
T0081,C00759,R027,8047,Scone
T0081,C00759,R027,3552,Latte
T0082,C00417,R003,4487,Latte
T0082,C00417,R003,5190,Muffin
T0082,C00417,R003,6284,Espresso
T0083,C00684,R001,7193,Latte
T0083,C00684,R001,7428,Bagel
T0083,C00684,R001,4348,Croissant
T0084,C00426,R021,3867,Scone
T0084,C00426,R021,9930,Espresso
T0084,C00426,R021,4370,Americano
T0085,C00527,R026,6232,Scone
T0085,C00527,R026,4267,Cappuccino
T0086,C00818,R008,11638,Espresso
T0086,C00818,R008,4349,Cappuccino
T0086,C00818,R008,8130,Bagel
T0087,C00515,R028,5783,Croissant
T0087,C00515,R028,5550,Bagel
T0088,C00402,R021,4002,Latte
T0088,C00402,R021,4561,Muffin
T0089,C00599,R017,9738,Latte
T0089,C00599,R017,8859,Cappuccino
T0090,C00486,R010,7659,Muffin
T0090,C00486,R010,5488,Bagel
T0091,C00665,R019,9914,Mocha
T0091,C00665,R019,11967,Latte
T0091,C00665,R019,3107,Americano
T0092,C00531,R005,8038,Cappuccino
T0092,C00531,R005,7749,Espresso
T0092,C00531,R005,10936,Sandwich
T0093,C00782,R026,9688,Croissant
T0093,C00782,R026,9162,Espresso
T0093,C00782,R026,11555,Scone
T0094,C00374,R022,7297,Croissant
T0094,C00374,R022,6343,Americano
T0094,C00374,R022,10803,Cappuccino
T0095,C00189,R014,4386,Cappuccino
T0095,C00189,R014,10769,Sandwich
T0096,C00291,R012,5823,Scone
T0096,C00291,R012,10969,Mocha
T0097,C00252,R028,9282,Americano
T0097,C00252,R028,5604,Croissant
T0097,C00252,R028,8141,Cappuccino
T0098,C00281,R004,8195,Latte
T0098,C00281,R004,9691,Bagel
T0099,C00406,R005,3428,Scone
T0099,C00406,R005,10998,Bagel
T0100,C00940,R018,9952,Bagel
T0100,C00940,R018,5836,Croissant
T0100,C00940,R018,6980,Sandwich
T0101,C00080,R005,5743,Americano
T0101,C00080,R005,10306,Espresso
T0102,C00374,R002,3506,Croissant
T0102,C00374,R002,8951,Sandwich
T0103,C00929,R014,4893,Espresso
T0103,C00929,R014,10408,Cappuccino
T0104,C00293,R010,9774,Latte
T0104,C00293,R010,7331,Muffin
T0104,C00293,R010,7242,Espresso
T0105,C00280,R018,5285,Scone
T0105,C00280,R018,11677,Espresso
T0106,C00180,R010,8982,Muffin
T0106,C00180,R010,6967,Espresso
T0107,C00324,R003,6084,Scone
T0107,C00324,R003,9595,Espresso
T0107,C00324,R003,10158,Croissant
T0108,C00622,R013,10795,Scone
T0108,C00622,R013,9792,Sandwich
T0108,C00622,R013,8088,Bagel
T0109,C00289,R001,10430,Mocha
T0109,C00289,R001,11513,Sandwich
T0110,C00633,R016,10024,Croissant
T0110,C00633,R016,3828,Latte
T0110,C00633,R016,11241,Americano
T0111,C00837,R020,7115,Latte
T0111,C00837,R020,4802,Cappuccino
T0111,C00837,R020,5023,Scone
T0112,C00904,R027,5951,Scone
T0112,C00904,R027,9891,Americano
T0112,C00904,R027,6846,Latte
T0113,C00115,R007,10820,Americano
T0113,C00115,R007,5187,Cappuccino
T0113,C00115,R007,6584,Sandwich
T0114,C00912,R014,3775,Muffin
T0114,C00912,R014,8726,Cappuccino
T0115,C00744,R005,3214,Latte
T0115,C00744,R005,3588,Americano
T0116,C00412,R030,10486,Sandwich
T0116,C00412,R030,7896,Cappuccino
T0116,C00412,R030,9222,Latte
T0117,C00853,R003,10678,Scone
T0117,C00853,R003,4440,Latte
T0118,C00125,R003,6215,Muffin
T0118,C00125,R003,6210,Americano
T0119,C00949,R021,8842,Scone
T0119,C00949,R021,7349,Espresso
T0119,C00949,R021,5525,Latte
T0120,C00620,R012,8887,Latte
T0120,C00620,R012,7989,Scone
T0120,C00620,R012,5034,Cappuccino
T0121,C00486,R023,6482,Scone
T0121,C00486,R023,5328,Americano
T0122,C00366,R027,6349,Scone
T0122,C00366,R027,10011,Latte
T0122,C00366,R027,5349,Espresso
T0123,C00127,R023,10896,Cappuccino
T0123,C00127,R023,11833,Croissant
T0123,C00127,R023,8386,Espresso
T0124,C00651,R027,3525,Muffin
T0124,C00651,R027,10055,Espresso
T0125,C00565,R013,11872,Scone
T0125,C00565,R013,8229,Espresso
T0126,C00834,R009,6498,Mocha
T0126,C00834,R009,9302,Espresso
T0127,C00419,R005,8567,Latte
T0127,C00419,R005,7428,Croissant
T0128,C00250,R015,6728,Muffin
T0128,C00250,R015,10249,Cappuccino
T0128,C00250,R015,9650,Sandwich
T0129,C00723,R030,3079,Croissant
T0129,C00723,R030,7128,Bagel
T0130,C00472,R012,11528,Sandwich
T0130,C00472,R012,5173,Scone
T0130,C00472,R012,9148,Bagel
T0131,C00805,R023,10801,Scone
T0131,C00805,R023,5654,Bagel
T0131,C00805,R023,8551,Muffin
T0132,C00539,R023,8035,Americano
T0132,C00539,R023,5508,Cappuccino
T0133,C00531,R003,9483,Muffin
T0133,C00531,R003,3606,Sandwich
T0134,C00521,R025,10005,Latte
T0134,C00521,R025,11031,Cappuccino
T0135,C00186,R021,11812,Bagel
T0135,C00186,R021,11492,Latte
T0136,C00171,R024,10691,Latte
T0136,C00171,R024,5688,Espresso
T0136,C00171,R024,4480,Cappuccino
T0137,C00447,R025,4245,Sandwich
T0137,C00447,R025,7139,Mocha
T0137,C00447,R025,3872,Muffin
T0138,C00440,R027,3821,Sandwich
T0138,C00440,R027,7248,Americano
T0139,C00836,R028,3787,Bagel
T0139,C00836,R028,11104,Croissant
T0140,C00061,R008,10574,Americano
T0140,C00061,R008,6411,Cappuccino
T0140,C00061,R008,10277,Croissant
T0141,C00875,R005,7943,Bagel
T0141,C00875,R005,3626,Latte
T0142,C00456,R018,9899,Espresso
T0142,C00456,R018,10440,Scone
T0143,C00116,R030,6502,Espresso
T0143,C00116,R030,8801,Muffin
T0143,C00116,R030,7304,Mocha
T0144,C00078,R017,5431,Latte
T0144,C00078,R017,7451,Scone
T0144,C00078,R017,6763,Mocha
T0145,C00665,R008,7247,Sandwich
T0145,C00665,R008,11849,Bagel
T0146,C00724,R015,10607,Espresso
T0146,C00724,R015,10820,Sandwich
T0147,C00443,R027,9059,Bagel
T0147,C00443,R027,5319,Scone
T0148,C00356,R010,3188,Muffin
T0148,C00356,R010,7295,Croissant
T0148,C00356,R010,3359,Bagel
T0149,C00665,R022,7698,Sandwich
T0149,C00665,R022,9714,Scone
T0149,C00665,R022,6381,Croissant
T0150,C00651,R026,4314,Sandwich
T0150,C00651,R026,9278,Croissant
T0151,C00825,R030,8171,Sandwich
T0151,C00825,R030,11591,Bagel
T0152,C00497,R008,9326,Croissant
T0152,C00497,R008,3266,Cappuccino
T0152,C00497,R008,4140,Sandwich
T0153,C00673,R009,10127,Scone
T0153,C00673,R009,9720,Sandwich
T0153,C00673,R009,3120,Muffin
T0154,C00030,R025,8027,Cappuccino
T0154,C00030,R025,5241,Mocha
T0154,C00030,R025,3079,Latte
T0155,C00110,R019,4937,Mocha
T0155,C00110,R019,11500,Cappuccino
T0155,C00110,R019,9748,Croissant
T0156,C00459,R028,11824,Americano
T0156,C00459,R028,4778,Muffin
T0157,C00134,R008,7342,Cappuccino
T0157,C00134,R008,11366,Scone
T0158,C00819,R016,10211,Muffin
T0158,C00819,R016,5638,Cappuccino
T0159,C00298,R028,4530,Latte
T0159,C00298,R028,9909,Muffin
T0160,C00298,R030,6302,Americano
T0160,C00298,R030,7388,Latte
T0161,C00925,R026,4672,Latte
T0161,C00925,R026,7356,Mocha
T0162,C00781,R024,5564,Sandwich
T0162,C00781,R024,9722,Muffin
T0163,C00302,R029,3090,Americano
T0163,C00302,R029,8025,Bagel
T0164,C00162,R022,5218,Muffin
T0164,C00162,R022,4141,Latte
T0164,C00162,R022,3953,Mocha
T0165,C00272,R011,7991,Mocha
T0165,C00272,R011,7264,Americano
T0166,C00013,R024,8125,Bagel
T0166,C00013,R024,4462,Latte
T0167,C00154,R025,9347,Croissant
T0167,C00154,R025,5079,Mocha
T0167,C00154,R025,5855,Espresso
T0168,C00107,R003,4422,Cappuccino
T0168,C00107,R003,11546,Sandwich
T0168,C00107,R003,10367,Scone
T0169,C00398,R027,4927,Cappuccino
T0169,C00398,R027,4138,Mocha
T0169,C00398,R027,11760,Sandwich
T0170,C00382,R019,4040,Espresso
T0170,C00382,R019,3368,Americano
T0170,C00382,R019,11218,Bagel
T0171,C00854,R026,3197,Sandwich
T0171,C00854,R026,11165,Muffin
T0172,C00582,R001,11033,Mocha
T0172,C00582,R001,11170,Bagel
T0173,C00433,R018,8396,Croissant
T0173,C00433,R018,4332,Bagel
T0173,C00433,R018,3511,Latte
T0174,C00733,R020,10107,Scone
T0174,C00733,R020,8210,Bagel
T0174,C00733,R020,5398,Croissant
T0175,C00027,R011,10331,Bagel
T0175,C00027,R011,4458,Sandwich
T0175,C00027,R011,7902,Scone
T0176,C00596,R019,11654,Cappuccino
T0176,C00596,R019,3162,Sandwich
T0177,C00915,R009,8227,Bagel
T0177,C00915,R009,6534,Espresso
T0178,C00424,R003,9004,Sandwich
T0178,C00424,R003,4358,Muffin
T0178,C00424,R003,4973,Latte
T0179,C00494,R017,6485,Mocha
T0179,C00494,R017,6542,Bagel
T0180,C00385,R024,4579,Muffin
T0180,C00385,R024,5547,Sandwich
T0181,C00147,R010,10961,Mocha
T0181,C00147,R010,11298,Scone
T0182,C00387,R029,9343,Latte
T0182,C00387,R029,8196,Sandwich
T0183,C00181,R008,5054,Mocha
T0183,C00181,R008,11191,Croissant
T0184,C00869,R027,9179,Bagel
T0184,C00869,R027,10127,Latte
T0184,C00869,R027,11548,Sandwich
T0185,C00436,R020,5686,Muffin
T0185,C00436,R020,8469,Mocha
T0185,C00436,R020,9016,Scone
T0186,C00626,R021,9246,Latte
T0186,C00626,R021,3606,Americano
T0186,C00626,R021,11628,Espresso
T0187,C00135,R009,7960,Sandwich
T0187,C00135,R009,7993,Mocha
T0188,C00566,R016,11542,Muffin
T0188,C00566,R016,4879,Latte
T0189,C00360,R006,8755,Bagel
T0189,C00360,R006,9899,Sandwich
T0190,C00977,R026,4899,Mocha
T0190,C00977,R026,7203,Americano
T0190,C00977,R026,7575,Scone
T0191,C00370,R022,8892,Bagel
T0191,C00370,R022,11077,Cappuccino
T0192,C00612,R020,5125,Bagel
T0192,C00612,R020,3467,Muffin
T0192,C00612,R020,8779,Cappuccino
T0193,C00023,R029,3959,Sandwich
T0193,C00023,R029,10628,Latte
T0194,C00466,R014,4225,Croissant
T0194,C00466,R014,3839,Sandwich
T0194,C00466,R014,7238,Latte
T0195,C00041,R004,6523,Espresso
T0195,C00041,R004,8786,Americano
T0195,C00041,R004,3303,Bagel
T0196,C00665,R028,7938,Scone
T0196,C00665,R028,8019,Croissant
T0197,C00666,R021,3428,Muffin
T0197,C00666,R021,4815,Scone
T0197,C00666,R021,6359,Mocha
T0198,C00147,R003,8936,Latte
T0198,C00147,R003,3422,Mocha
T0198,C00147,R003,3414,Croissant
T0199,C00811,R016,8449,Muffin
T0199,C00811,R016,5150,Bagel
T0200,C00505,R018,3441,Latte
T0200,C00505,R018,8658,Sandwich
T0201,C00547,R020,3066,Scone
T0201,C00547,R020,4649,Latte
T0202,C00157,R004,6207,Mocha
T0202,C00157,R004,9700,Latte
T0202,C00157,R004,5300,Croissant
T0203,C00834,R013,6826,Muffin
T0203,C00834,R013,4594,Espresso
T0203,C00834,R013,3073,Scone
T0204,C00768,R025,5069,Mocha
T0204,C00768,R025,4938,Latte
T0204,C00768,R025,6309,Espresso
T0205,C00180,R012,7408,Cappuccino
T0205,C00180,R012,8457,Mocha
T0205,C00180,R012,5254,Croissant
T0206,C00899,R030,9011,Bagel
T0206,C00899,R030,11454,Scone
T0207,C00765,R028,5413,Sandwich
T0207,C00765,R028,5868,Americano
T0207,C00765,R028,11452,Muffin
T0208,C00432,R006,8266,Espresso
T0208,C00432,R006,7157,Bagel
T0208,C00432,R006,10828,Latte
T0209,C00905,R007,5186,Sandwich
T0209,C00905,R007,5156,Espresso
T0209,C00905,R007,4530,Latte
T0210,C00405,R027,6465,Latte
T0210,C00405,R027,11679,Bagel
T0210,C00405,R027,4156,Espresso
T0211,C00067,R012,9376,Sandwich
T0211,C00067,R012,10310,Latte
T0211,C00067,R012,4490,Cappuccino
T0212,C00025,R018,5549,Bagel
T0212,C00025,R018,3695,Muffin
T0212,C00025,R018,5580,Sandwich
T0213,C00694,R027,7065,Latte
T0213,C00694,R027,6125,Espresso
T0213,C00694,R027,7566,Muffin
T0214,C00140,R001,11841,Cappuccino
T0214,C00140,R001,10005,Americano
T0215,C00970,R025,9075,Espresso
T0215,C00970,R025,6747,Croissant
T0215,C00970,R025,4675,Mocha
T0216,C00234,R022,3763,Croissant
T0216,C00234,R022,8483,Espresso
T0216,C00234,R022,5080,Americano
T0217,C00766,R024,7857,Cappuccino
T0217,C00766,R024,11408,Scone
T0217,C00766,R024,9857,Muffin
T0218,C00302,R028,5242,Espresso
T0218,C00302,R028,8437,Latte
T0219,C00679,R009,3291,Latte
T0219,C00679,R009,4259,Croissant
T0220,C00359,R012,11987,Scone
T0220,C00359,R012,11466,Espresso
T0220,C00359,R012,5634,Sandwich
T0221,C00702,R005,6798,Espresso
T0221,C00702,R005,11866,Scone
T0222,C00555,R013,11452,Bagel
T0222,C00555,R013,8602,Croissant
T0222,C00555,R013,11455,Mocha
T0223,C00771,R021,11907,Espresso
T0223,C00771,R021,6027,Scone
T0223,C00771,R021,11816,Croissant
T0224,C00755,R029,9974,Americano
T0224,C00755,R029,7300,Bagel
T0225,C00587,R013,8308,Scone
T0225,C00587,R013,3601,Espresso
T0226,C00493,R012,11246,Scone
T0226,C00493,R012,3759,Muffin
T0227,C00965,R007,9610,Sandwich
T0227,C00965,R007,7417,Espresso
T0227,C00965,R007,8580,Mocha
T0228,C00255,R004,3226,Cappuccino
T0228,C00255,R004,8250,Croissant
T0228,C00255,R004,8035,Latte
T0229,C00907,R020,6176,Bagel
T0229,C00907,R020,3614,Muffin
T0229,C00907,R020,7305,Croissant
T0230,C00223,R013,3256,Sandwich
T0230,C00223,R013,6713,Mocha
T0231,C00162,R021,8770,Americano
T0231,C00162,R021,7417,Muffin
T0231,C00162,R021,8345,Scone
T0232,C00444,R028,8920,Croissant
T0232,C00444,R028,10440,Cappuccino
T0233,C00472,R027,6403,Croissant
T0233,C00472,R027,4777,Bagel
T0234,C00083,R025,6576,Croissant
T0234,C00083,R025,5225,Bagel
T0235,C00521,R020,7893,Muffin
T0235,C00521,R020,10261,Latte
T0236,C00096,R024,3236,Cappuccino
T0236,C00096,R024,8765,Americano
T0237,C00018,R018,7087,Americano
T0237,C00018,R018,9339,Sandwich
T0237,C00018,R018,10556,Espresso
T0238,C00654,R016,11581,Scone
T0238,C00654,R016,3920,Muffin
T0238,C00654,R016,7602,Americano
T0239,C00225,R027,10264,Bagel
T0239,C00225,R027,10110,Americano
T0239,C00225,R027,6688,Cappuccino
T0240,C00696,R003,8488,Scone
T0240,C00696,R003,7567,Sandwich
T0241,C00921,R019,10542,Sandwich
T0241,C00921,R019,10260,Americano
T0241,C00921,R019,11715,Mocha
T0242,C00326,R011,11455,Cappuccino
T0242,C00326,R011,3881,Mocha
T0242,C00326,R011,7098,Croissant
T0243,C00563,R003,5764,Sandwich
T0243,C00563,R003,4401,Croissant
T0244,C00351,R016,10010,Bagel
T0244,C00351,R016,11563,Cappuccino
T0244,C00351,R016,4488,Americano
T0245,C00500,R019,3839,Bagel
T0245,C00500,R019,3417,Scone
T0245,C00500,R019,10567,Espresso
T0246,C00383,R029,11020,Sandwich
T0246,C00383,R029,4085,Espresso
T0246,C00383,R029,9548,Bagel
T0247,C00996,R003,11667,Bagel
T0247,C00996,R003,6332,Americano
T0248,C00921,R026,8603,Croissant
T0248,C00921,R026,4371,Bagel
T0248,C00921,R026,5011,Mocha
T0249,C00232,R029,7691,Croissant
T0249,C00232,R029,8972,Espresso
T0249,C00232,R029,8374,Bagel
T0250,C00766,R013,11400,Espresso
T0250,C00766,R013,10643,Sandwich
T0250,C00766,R013,3067,Cappuccino
T0251,C00722,R013,3751,Cappuccino
T0251,C00722,R013,8014,Croissant
T0251,C00722,R013,9284,Americano
T0252,C00947,R012,11266,Cappuccino
T0252,C00947,R012,9375,Espresso
T0253,C00338,R015,11212,Espresso
T0253,C00338,R015,5414,Cappuccino
T0253,C00338,R015,6909,Scone
T0254,C00432,R023,9759,Latte
T0254,C00432,R023,3161,Bagel
T0255,C00389,R002,4027,Scone
T0255,C00389,R002,10724,Cappuccino
T0256,C00436,R022,9695,Mocha
T0256,C00436,R022,4963,Muffin
T0257,C00247,R017,10472,Latte
T0257,C00247,R017,11907,Muffin
T0257,C00247,R017,6989,Americano
T0258,C00736,R028,6582,Bagel
T0258,C00736,R028,4414,Americano
T0258,C00736,R028,5861,Scone
T0259,C00871,R022,11418,Scone
T0259,C00871,R022,5237,Americano
T0259,C00871,R022,5999,Bagel
T0260,C00142,R008,11848,Sandwich
T0260,C00142,R008,3101,Croissant
T0260,C00142,R008,4401,Espresso
T0261,C00919,R005,7172,Latte
T0261,C00919,R005,11041,Sandwich
T0262,C00193,R026,10383,Scone
T0262,C00193,R026,10253,Croissant
T0263,C00948,R022,11820,Croissant
T0263,C00948,R022,11552,Latte
T0263,C00948,R022,10825,Scone
T0264,C00023,R004,6453,Mocha
T0264,C00023,R004,10141,Cappuccino
T0264,C00023,R004,7694,Espresso
T0265,C00248,R028,3769,Croissant
T0265,C00248,R028,7006,Muffin
T0266,C00730,R016,10790,Scone
T0266,C00730,R016,4920,Mocha
T0267,C00641,R001,8709,Americano
T0267,C00641,R001,3452,Bagel
T0268,C00593,R004,11988,Mocha
T0268,C00593,R004,8942,Bagel
T0269,C00491,R026,7985,Muffin
T0269,C00491,R026,8891,Bagel
T0270,C00738,R025,3828,Mocha
T0270,C00738,R025,10947,Espresso
T0271,C00502,R003,8508,Muffin
T0271,C00502,R003,11439,Cappuccino
T0271,C00502,R003,5096,Espresso
T0272,C00125,R022,4709,Muffin
T0272,C00125,R022,10326,Scone
T0273,C00866,R017,8722,Sandwich
T0273,C00866,R017,8206,Americano
T0274,C00594,R028,10184,Scone
T0274,C00594,R028,6091,Bagel
T0274,C00594,R028,7246,Latte
T0275,C00673,R021,6910,Croissant
T0275,C00673,R021,9949,Bagel
T0275,C00673,R021,7452,Cappuccino
T0276,C00767,R021,9508,Sandwich
T0276,C00767,R021,4963,Mocha
T0277,C00685,R006,4102,Espresso
T0277,C00685,R006,7692,Bagel
T0277,C00685,R006,6193,Cappuccino
T0278,C00524,R024,6578,Muffin
T0278,C00524,R024,6871,Bagel
T0279,C00145,R002,9643,Mocha
T0279,C00145,R002,11801,Latte
T0280,C00350,R005,8170,Espresso
T0280,C00350,R005,6089,Americano
T0281,C00108,R017,10783,Mocha
T0281,C00108,R017,4976,Americano
T0281,C00108,R017,6582,Espresso
T0282,C00087,R013,6801,Americano
T0282,C00087,R013,6688,Muffin
T0282,C00087,R013,3825,Cappuccino
T0283,C00070,R004,5885,Sandwich
T0283,C00070,R004,9884,Croissant
T0283,C00070,R004,10329,Muffin
T0284,C00884,R006,3295,Cappuccino
T0284,C00884,R006,3898,Espresso
T0284,C00884,R006,10647,Mocha
T0285,C00583,R006,4674,Espresso
T0285,C00583,R006,11115,Bagel
T0285,C00583,R006,3360,Mocha
T0286,C00468,R025,11283,Croissant
T0286,C00468,R025,8641,Americano
T0286,C00468,R025,7085,Espresso
T0287,C00993,R020,3804,Bagel
T0287,C00993,R020,11136,Cappuccino
T0287,C00993,R020,3291,Muffin
T0288,C00505,R023,11459,Croissant
T0288,C00505,R023,8222,Latte
T0289,C00138,R003,8534,Latte
T0289,C00138,R003,9547,Mocha
T0290,C00408,R030,5711,Bagel
T0290,C00408,R030,8710,Cappuccino
T0290,C00408,R030,6829,Croissant
T0291,C00718,R007,9049,Scone
T0291,C00718,R007,3377,Espresso
T0291,C00718,R007,7232,Muffin
T0292,C00752,R020,11797,Mocha
T0292,C00752,R020,9907,Sandwich
T0292,C00752,R020,9340,Latte
T0293,C00427,R022,8386,Cappuccino
T0293,C00427,R022,11946,Mocha
T0294,C00588,R030,5505,Bagel
T0294,C00588,R030,6395,Scone
