customer_id,age,monthly_income,region
276,53,13994,R027
277,22,4805,R018
278,32,6080,R022
279,44,13662,R012
280,33,11247,R023
281,53,12771,R014
282,55,14340,R018
283,35,12957,R018
284,52,7850,R027
285,42,9362,R003
286,39,3328,R008
287,48,14236,R022
288,54,4392,R020
289,51,5153,R009
290,40,10192,R011
291,33,2166,R016
292,23,5254,R018
293,32,7060,R024
294,35,3885,R002
295,55,6368,R027
296,30,9529,R017
297,41,2899,R008
298,30,4248,R019
299,18,13455,R020
300,53,5412,R003
301,35,13769,R022
302,50,12379,R023
303,55,8449,R008
304,60,11411,R008
305,23,5132,R008
306,34,10155,R023
307,21,10136,R009
308,31,2359,R023
309,47,8450,R019
310,63,12231,R023
311,37,9647,R019
312,25,14129,R014
313,19,13346,R027
314,54,10525,R022
315,21,2730,R019
316,27,9067,R020
317,37,11689,R020
318,52,3417,R016
319,27,9767,R018
320,45,9888,R014
321,32,5763,R030
322,53,11935,R020
323,18,8928,R003
324,39,7696,R019
325,44,14308,R003
326,46,12165,R011
327,32,2878,R018
328,27,14464,R019
329,37,7482,R028
330,39,4884,R029
331,26,13199,R003
332,49,12787,R019
333,34,4297,R024
334,59,10852,R008
335,36,13336,R022
336,57,13354,R027
337,44,14413,R020
338,54,9371,R014
339,51,5985,R027
340,64,3269,R027
341,27,14898,R022
342,47,3294,R016
343,38,3009,R023
344,38,12283,R014
345,51,3757,R009
346,26,12156,R019
347,51,9776,R030
348,29,14835,R023
349,64,11383,R022
350,38,8578,R018
351,37,10180,R012
352,23,11245,R026
353,62,4841,R019
354,53,7716,R024
355,29,4404,R019
356,58,5562,R022
357,48,13896,R027
358,19,12014,R016
359,33,3271,R002
360,18,11911,R009
361,21,10444,R027
362,64,4768,R022
363,18,11751,R022
364,64,9801,R014
365,52,10928,R022
366,30,8142,R020
367,62,3928,R008
368,59,8266,R027
369,48,7413,R016
370,37,8828,R014
371,24,4190,R016
372,57,3002,R003
373,50,13177,R020
374,45,12114,R008
375,61,8654,R023
376,61,10094,R016
377,37,8067,R018
378,49,5752,R020
379,26,8200,R023
380,51,6137,R008
381,31,5702,R027
382,21,13384,R020
383,46,7943,R001
384,32,14026,R017
385,34,6438,R018
386,36,6427,R024
387,55,13719,R012
388,26,7556,R014
389,44,10532,R003
390,32,4388,R011
391,54,13679,R022
392,45,8992,R020
393,21,8325,R003
394,38,3700,R003
395,51,7383,R016
396,36,3233,R022
397,54,12762,R024
398,21,4298,R002
399,54,10329,R014
400,49,12990,R018
401,62,4930,R027
402,29,14112,R019
403,58,14374,R009
404,33,3833,R016
405,31,4139,R018
406,18,10399,R022
407,49,12425,R003
408,38,12042,R016
409,21,11879,R020
410,26,12395,R011
411,63,8436,R020
412,39,4208,R016
413,29,9553,R023
414,47,7622,R003
415,47,11042,R027
416,49,12395,R008
417,53,8286,R007
418,24,9936,R024
419,34,5690,R027
420,18,13547,R003
421,31,4609,R027
422,64,8178,R010
423,61,2223,R020
424,61,5774,R003
425,55,11603,R016
426,43,9916,R018
427,44,14584,R020
428,62,10514,R019
429,33,7973,R018
430,63,11703,R027
431,24,4086,R008
432,49,14792,R007
433,42,8896,R022
434,48,9483,R003
435,33,9663,R019
436,58,9284,R019
437,31,7461,R012
438,42,4287,R027
439,47,10878,R011
440,24,12209,R011
441,29,11660,R008
442,20,14115,R007
443,44,6835,R016
444,63,11188,R022
445,36,4534,R022
446,60,13004,R024
447,54,7530,R008
448,62,2622,R003
449,59,14016,R028
450,24,12975,R002
451,33,14585,R027
452,49,3075,R024
453,25,8876,R027
454,30,10495,R016
455,28,10855,R008
456,37,13138,R020
457,35,7237,R022
458,54,5994,R005
459,23,12184,R023
460,37,13687,R008
461,49,4694,R019
462,63,6304,R026
463,61,5198,R008
464,46,7412,R008
465,21,10710,R003
466,24,9389,R007
467,60,6433,R007
468,37,7909,R008
469,51,12061,R011
470,53,10017,R024
471,24,5810,R027
472,50,2912,R017
473,32,9442,R005
474,49,14126,R008
475,39,6902,R022
476,57,5188,R022
477,46,11507,R027
478,42,5228,R002
479,22,2571,R022
480,31,13447,R019
481,52,12663,R027
482,19,9768,R020
483,42,7135,R018
484,33,10289,R021
485,63,6033,R024
486,33,3639,R011
487,28,8443,R003
488,52,6842,R018
489,40,7541,R008
490,22,6027,R018
491,52,2260,R030
492,46,11127,R019
493,64,3797,R022
494,22,2331,R022
495,20,6210,R024
496,23,10459,R027
497,40,4059,R020
498,63,2072,R018
499,19,7111,R014
500,35,4921,R016
501,47,12645,R014
502,55,5888,R014
503,22,2177,R022
504,63,3999,R020
505,28,10963,R008
506,18,11137,R027
507,27,9426,R018
508,58,6495,R019
509,61,2269,R022
510,43,12047,R020
511,50,3655,R012
512,44,13944,R023
513,29,4533,R003
514,19,14346,R019
515,18,12881,R010
516,18,6982,R020
517,50,6361,R008
518,39,12314,R023
519,29,8118,R008
520,56,13353,R027
521,53,10696,R027
522,38,4404,R016
523,37,4201,R016
524,53,8019,R022
525,43,13481,R003
526,64,14773,R003
527,48,7659,R006
528,18,3153,R019
529,55,6161,R007
530,31,12619,R010
531,43,3336,R020
532,63,10598,R002
533,59,5478,R008
534,24,14236,R027
535,29,2276,R020
536,41,8758,R012
537,36,5480,R003
538,26,4361,R020
539,52,12788,R008
540,21,7368,R027
541,62,12160,R022
542,59,10652,R028
543,49,4446,R024
544,63,13931,R019
545,23,11774,R022
546,45,9601,R024
547,45,7051,R020
548,57,5517,R003
549,46,6802,R018
550,59,14390,R005
551,22,4375,R022
552,22,9850,R022
553,54,8744,R030
554,58,8389,R020
555,45,8248,R023
556,58,12931,R009
557,64,2971,R015
558,26,9136,R027
559,46,11517,R022
560,31,10344,R020
561,55,13800,R009
562,57,5960,R022
563,51,13298,R027
564,54,5086,R008
565,59,10921,R022
566,31,5967,R016
567,35,14361,R004
568,50,6951,R023
569,51,6002,R008
570,45,4332,R009
571,53,11765,R023
572,62,13460,R022
573,54,6375,R009
574,40,2685,R027
575,59,5888,R008
576,34,11771,R030
577,28,2968,R022
578,49,13929,R016
579,54,9320,R005
580,32,4033,R014
581,21,9075,R008
582,56,7261,R020
583,47,10959,R016
584,27,2645,R011
585,40,6121,R023
586,41,10112,R008
587,53,11271,R020
588,22,8436,R008
589,54,10828,R022
590,60,14517,R020
591,36,12292,R023
592,54,9097,R003
593,25,10292,R008
594,24,7586,R007
595,57,14109,R008
596,30,2868,R003
597,54,7914,R019
598,44,14289,R020
599,35,10213,R024
600,41,12817,R017
601,58,8355,R019
602,19,3903,R030
603,33,4576,R019
604,31,6109,R019
605,34,6614,R030
606,23,10014,R030
607,52,5293,R018
608,34,3935,R020
609,62,2615,R019
610,55,7057,R022
611,57,12642,R027
612,23,13776,R012
613,55,10478,R024
614,38,13510,R020
615,52,3923,R010
616,40,8455,R023
617,29,9604,R018
618,46,10152,R004
619,44,4773,R030
620,23,12282,R018
621,38,7193,R019
622,24,12993,R024
623,60,11184,R027
624,58,11776,R027
625,33,3903,R019
626,22,11067,R019
627,32,12077,R010
628,38,2143,R018
629,21,9496,R027
630,22,4256,R022
631,24,11314,R002
632,52,2699,R003
633,53,14401,R027
634,32,8318,R024
635,45,2270,R019
636,19,10254,R020
637,22,3007,R011
638,24,13035,R023
639,39,12464,R020
640,48,12174,R022
641,49,9203,R016
642,25,12620,R018
643,58,5724,R008
644,59,14605,R027
645,28,12947,R027
646,18,13926,R024
647,64,8599,R027
648,57,11484,R021
649,36,8487,R008
650,61,9917,R023
651,55,6509,R014
652,59,7400,R018
653,54,6320,R010
654,24,11369,R018
655,56,7472,R022
656,42,9206,R003
657,39,8872,R003
658,44,9923,R022
659,58,6716,R023
660,64,9118,R019
661,55,4620,R008
662,56,4536,R018
663,32,7103,R023
664,19,12160,R022
665,25,9080,R003
666,61,7317,R027
667,60,3195,R008
668,23,13023,R008
669,37,10699,R018
670,44,2404,R014
671,62,3294,R029
672,40,8054,R003
673,57,5625,R012
674,34,9868,R016
675,30,4819,R019
676,21,6759,R002
677,37,7745,R003
678,59,9564,R009
679,42,5637,R019
680,39,3873,R023
681,34,3406,R022
682,57,13775,R019
683,28,7514,R016
684,42,3577,R027
685,22,9772,R018
686,38,7379,R011
687,43,14568,R020
688,33,13619,R022
689,57,7311,R016
690,38,10828,R003
691,49,7547,R003
692,21,2807,R024
693,55,4395,R003
694,25,6524,R020
695,26,3415,R008
696,62,9508,R008
697,34,4449,R010
698,58,14952,R003
699,30,5496,R008
700,26,13780,R020
701,23,9103,R019
702,44,14221,R023
703,59,6732,R003
704,54,9022,R027
705,56,9495,R030
706,60,10706,R002
707,41,7099,R027
708,26,9332,R008
709,59,5294,R022
710,28,4908,R011
711,52,7416,R019
712,46,12690,R019
713,25,11558,R016
714,34,10532,R022
715,24,14164,R020
716,29,11752,R019
717,32,7670,R029
718,46,4468,R027
719,62,4428,R027
720,41,5688,R027
721,54,8148,R009
722,31,12887,R016
723,28,4027,R008
724,52,9171,R029
725,34,13944,R007
726,44,2315,R016
727,61,5989,R008
728,20,11293,R008
729,19,2530,R009
730,21,9884,R020
731,35,12594,R003
732,37,3859,R019
733,38,6757,R024
734,31,9872,R023
735,25,11411,R007
736,19,14414,R027
737,43,14636,R023
738,36,11958,R001
739,59,3067,R022
740,45,2727,R022
741,46,2243,R019
742,22,11977,R003
743,60,2711,R020
744,45,13085,R023
745,58,13342,R009
746,43,9924,R021
747,22,14373,R016
748,32,11700,R019
749,63,10462,R016
750,26,11989,R012
751,49,4560,R026
752,43,7139,R022
753,54,5560,R016
754,32,6003,R018
755,58,4177,R022
756,21,2837,R024
757,53,13009,R022
758,37,5714,R019
759,44,5078,R027
760,38,13091,R023
761,39,11968,R003
762,24,7032,R019
763,64,3650,R017
764,48,4948,R023
765,34,4520,R003
766,24,9269,R017
767,36,12577,R014
768,45,14606,R007
769,27,12960,R016
770,44,9597,R022
771,30,14430,R016
772,19,12896,R020
773,39,11364,R020
774,37,12710,R020
775,60,2362,R019
776,22,10841,R003
777,23,4256,R008
778,52,9352,R023
779,18,13328,R019
780,52,14836,R022
781,20,11327,R019
782,53,6358,R003
783,24,13339,R023
784,46,7297,R003
785,32,6861,R027
786,28,2875,R008
787,35,13934,R019
788,61,7955,R003
789,21,9129,R027
790,41,5851,R028
791,28,11344,R007
792,23,9805,R011
793,35,8656,R002
794,32,3922,R023
795,20,10820,R012
796,34,13211,R020
797,50,11916,R003
798,51,14940,R022
799,47,3128,R019
800,36,6561,R022
801,26,10955,R023
802,57,3019,R003
803,61,7024,R020
804,48,14165,R020
805,44,9574,R019
806,64,5927,R008
807,42,4841,R023
808,24,13139,R030
809,24,7477,R027
810,37,10866,R023
811,61,3008,R017
812,60,3226,R014
813,53,3635,R003
814,36,14568,R017
815,19,9261,R007
816,51,10515,R009
817,34,13030,R027
818,41,14002,R027
819,26,9529,R027
820,18,3685,R008
821,59,5712,R027
822,45,9058,R007
823,32,10733,R019
824,38,4944,R020
825,32,3327,R018
826,40,7906,R027
827,19,10830,R014
828,63,14723,R019
829,53,4260,R003
830,26,3429,R025
831,19,13057,R017
832,19,11153,R022
833,35,4962,R022
834,34,9386,R022
835,58,4468,R019
836,25,5228,R010
837,51,10320,R020
838,51,6399,R027
839,22,5966,R024
840,61,11108,R003
841,46,7281,R002
842,45,7017,R019
843,33,7155,R023
844,31,3250,R012
845,19,12390,R022
846,57,6688,R027
847,21,6073,R018
848,58,5787,R008
849,48,11131,R027
850,43,12470,R018
851,44,7658,R017
852,51,11193,R016
853,48,5772,R017
854,28,4212,R022
855,25,8867,R018
856,29,8963,R014
857,52,11802,R022
858,62,11819,R008
859,51,7693,R008
860,30,13329,R022
861,44,5991,R027
862,25,11295,R008
863,64,4187,R008
864,38,14417,R022
865,58,5032,R020
866,28,13005,R018
867,39,12685,R003
868,38,5903,R003
869,45,10220,R023
870,20,14251,R018
871,24,11452,R026
872,31,5670,R019
873,32,7727,R020
874,26,6894,R027
875,60,7518,R007
876,24,13702,R019
877,29,4336,R003
878,36,5323,R016
879,44,9120,R007
880,35,9859,R008
881,30,2099,R027
882,60,5656,R020
883,18,14709,R027
884,55,8786,R018
885,38,2693,R020
886,51,6801,R003
887,30,10209,R018
888,62,5709,R019
889,58,4770,R002
890,40,3030,R023
891,18,6475,R011
892,40,6209,R018
893,45,8995,R019
894,49,3619,R030
895,25,11042,R003
896,43,12088,R019
897,31,11167,R019
898,41,4516,R003
899,46,14380,R020
900,21,11707,R011
901,35,9995,R003
902,31,3125,R008
903,44,10684,R024
904,58,8906,R003
905,64,7604,R018
906,20,5036,R008
907,47,4526,R007
908,53,2166,R008
909,40,14427,R019
910,35,6189,R008
911,63,9348,R003
912,64,2575,R023
913,57,9171,R019
914,27,10797,R007
915,29,5343,R018
916,58,3818,R003
917,25,11347,R020
918,49,14871,R015
919,34,11007,R003
920,58,8023,R008
921,62,12832,R016
922,31,11727,R024
923,54,12925,R008
924,26,9979,R003
925,43,11154,R019
926,41,13226,R019
927,40,7171,R003
928,48,12239,R011
929,56,7409,R009
930,61,6541,R008
931,19,8380,R013
932,35,5860,R003
933,33,3514,R020
934,46,13543,R030
935,28,3067,R020
936,19,2881,R016
937,31,8909,R022
938,21,7032,R019
939,56,8502,R024
940,51,5639,R020
941,63,11741,R020
942,56,12929,R008
943,26,6557,R017
944,57,10292,R016
945,58,5532,R002
946,24,4816,R012
947,34,8411,R019
948,40,2407,R020
949,62,9204,R027
950,28,4515,R008
951,39,10133,R007
952,35,3739,R027
953,45,6052,R027
954,33,2258,R019
955,59,10700,R003
956,21,7786,R019
957,53,14013,R003
958,39,14596,R027
959,28,5683,R022
960,38,6720,R008
961,57,5726,R027
962,58,2678,R020
963,33,11475,R027
964,59,11098,R028
965,26,10459,R001
966,52,8126,R004
967,51,13295,R019
968,26,6906,R027
969,30,9898,R030
970,23,3200,R019
971,21,7355,R008
972,63,3116,R007
973,45,8344,R023
974,28,7930,R020
975,51,11090,R019
976,52,12982,R018
977,22,12836,R022
978,56,3058,R026
979,28,9284,R012
980,29,2687,R008
981,60,7577,R022
982,36,7590,R027
983,30,10152,R016
984,21,9063,R009
985,31,10979,R008
986,61,14686,R009
987,19,12836,R006
988,25,12356,R020
989,39,14649,R010
990,30,10395,R020
991,38,13409,R003
992,38,4491,R003
993,45,6822,R019
994,50,12230,R019
995,46,9004,R009
996,54,13560,R024
997,39,9011,R008
998,43,7700,R016
999,28,13750,R019
1000,28,14249,R027
