transaction_id,cinema_id,movie_id,ticket_sales,date,time,purchase_channel
290,19,13,3,2023-05-21,18:00,Online
291,27,4,2,2023-03-10,12:00,Mobile
292,8,19,2,2023-12-10,19:30,Online
293,7,17,4,2023-05-31,13:00,Online
294,8,10,3,2023-12-18,19:30,Offline
295,4,7,2,2023-12-14,22:00,Mobile
296,5,20,1,2023-02-22,12:00,Offline
297,13,10,2,2023-05-17,10:30,Offline
298,3,12,4,2023-03-31,21:30,Mobile
299,28,5,1,2023-12-01,16:00,Offline
300,11,3,3,2023-11-13,20:00,Mobile
301,13,18,4,2023-01-07,11:30,Mobile
302,26,10,4,2023-09-08,16:30,Offline
303,13,1,1,2023-10-01,21:00,Offline
304,10,12,3,2023-03-06,13:00,Mobile
305,1,18,4,2023-05-16,18:30,Offline
306,5,15,2,2023-12-28,21:00,Online
307,22,10,4,2023-01-07,22:00,Offline
308,10,19,1,2023-01-24,15:00,Offline
309,7,19,3,2023-05-01,14:00,Mobile
310,26,19,1,2023-08-10,13:30,Mobile
311,27,18,4,2023-11-19,19:00,Mobile
312,5,9,3,2023-08-29,22:30,Offline
313,18,15,2,2023-07-21,14:30,Offline
314,29,3,3,2023-01-17,10:30,Offline
315,9,3,1,2023-06-25,14:30,Offline
316,23,15,1,2023-07-29,17:30,Offline
317,22,7,4,2023-08-25,19:00,Offline
318,27,13,1,2023-11-21,20:30,Offline
319,14,19,1,2023-03-24,10:30,Online
320,13,8,4,2023-05-31,10:30,Online
321,14,7,3,2023-07-16,17:00,Offline
322,27,8,4,2023-03-27,17:30,Mobile
323,23,3,4,2023-07-26,15:00,Mobile
324,12,6,2,2023-12-16,11:00,Online
325,22,16,4,2023-11-23,17:30,Offline
326,5,9,3,2023-11-13,14:30,Mobile
327,21,18,4,2023-06-06,12:30,Offline
328,12,20,2,2023-08-02,10:30,Online
329,11,15,1,2023-03-14,20:00,Mobile
330,10,16,3,2023-11-12,17:00,Mobile
331,4,20,1,2023-03-26,17:30,Mobile
332,1,18,1,2023-12-21,18:00,Online
333,9,3,4,2023-01-12,13:00,Offline
334,19,20,3,2023-01-18,10:00,Offline
335,4,8,4,2023-02-27,21:30,Online
336,16,18,1,2023-08-17,20:30,Mobile
337,6,11,3,2023-10-28,17:00,Mobile
338,22,4,4,2023-05-14,18:30,Mobile
339,14,6,3,2023-12-04,22:00,Offline
340,5,2,4,2023-06-01,22:30,Online
341,18,3,3,2023-11-20,12:30,Offline
342,30,18,1,2023-08-30,18:30,Online
343,19,4,1,2023-12-16,14:00,Mobile
344,27,3,4,2023-06-13,21:00,Mobile
345,19,15,1,2023-01-21,18:30,Offline
346,19,17,3,2023-03-14,22:00,Online
347,19,18,4,2023-10-08,21:30,Offline
348,26,2,2,2023-10-31,18:30,Online
349,21,16,2,2023-08-26,12:00,Mobile
350,1,20,3,2023-09-02,17:00,Offline
351,7,17,3,2023-05-18,16:00,Offline
352,10,15,4,2023-04-28,12:00,Mobile
353,6,8,2,2023-11-14,11:30,Offline
354,10,8,4,2023-11-06,15:00,Mobile
355,25,9,4,2023-12-23,13:30,Offline
356,17,10,3,2023-02-18,16:30,Mobile
357,22,1,4,2023-06-28,12:00,Online
358,16,10,2,2023-11-18,19:30,Offline
359,26,18,3,2023-01-06,17:00,Offline
360,10,4,4,2023-06-19,18:30,Offline
361,7,8,2,2023-03-10,20:30,Offline
362,22,9,4,2023-07-10,10:00,Offline
363,24,7,2,2023-06-26,15:00,Online
364,14,3,1,2023-02-07,12:00,Online
365,4,16,4,2023-03-28,21:30,Online
366,1,16,4,2023-10-14,16:30,Offline
367,21,18,4,2023-11-14,17:30,Online
368,15,8,3,2023-05-11,13:00,Offline
369,27,9,1,2023-12-09,21:00,Mobile
370,27,16,1,2023-08-03,11:00,Mobile
371,6,13,1,2023-06-06,22:00,Offline
372,1,2,4,2023-11-28,22:30,Mobile
373,10,7,4,2023-01-28,22:30,Mobile
374,11,18,2,2023-08-03,13:00,Online
375,24,5,2,2023-11-16,11:00,Online
376,24,4,4,2023-11-16,22:00,Mobile
377,15,9,4,2023-08-30,16:30,Mobile
378,16,19,2,2023-06-15,10:30,Online
379,10,2,1,2023-02-16,20:30,Mobile
380,8,8,3,2023-06-08,15:00,Offline
381,21,1,4,2023-05-18,13:00,Offline
382,7,10,2,2023-08-22,11:00,Online
383,13,2,3,2023-11-21,16:00,Online
384,13,16,2,2023-06-09,17:30,Online
385,2,7,1,2023-06-29,20:00,Offline
386,24,3,2,2023-06-05,14:30,Online
387,10,2,3,2023-08-08,22:30,Offline
388,3,14,1,2023-03-19,10:30,Mobile
389,12,18,1,2023-09-23,10:30,Mobile
390,3,19,4,2023-06-26,18:30,Offline
391,10,17,4,2023-07-07,12:30,Mobile
392,25,3,4,2023-01-05,12:00,Online
393,23,7,3,2023-05-20,20:30,Online
394,22,10,4,2023-09-22,20:00,Offline
395,6,9,3,2023-05-20,18:00,Online
396,29,7,2,2023-05-03,17:30,Offline
397,26,13,4,2023-03-27,16:30,Offline
398,22,9,4,2023-09-15,11:00,Mobile
399,9,8,2,2023-09-02,17:30,Offline
400,3,1,2,2023-02-23,10:00,Mobile
401,9,3,2,2023-09-09,21:30,Mobile
402,6,17,1,2023-01-10,15:30,Mobile
403,9,10,2,2023-04-02,12:00,Offline
404,4,15,2,2023-04-07,19:00,Online
405,21,5,3,2023-06-03,21:00,Mobile
406,9,18,2,2023-01-25,19:00,Online
407,9,14,2,2023-09-21,16:00,Offline
408,5,15,4,2023-01-18,20:00,Online
409,21,2,2,2023-03-22,19:00,Offline
410,14,19,2,2023-04-23,21:30,Mobile
411,22,12,2,2023-12-15,15:30,Offline
412,2,14,3,2023-11-07,10:00,Mobile
413,5,3,3,2023-06-05,10:00,Online
414,18,13,1,2023-09-13,14:00,Online
415,21,15,2,2023-11-13,20:00,Mobile
416,20,14,1,2023-03-13,22:00,Offline
417,6,1,1,2023-03-03,18:00,Mobile
418,23,6,3,2023-02-20,21:00,Offline
419,2,12,1,2023-10-23,22:00,Mobile
420,20,10,1,2023-03-08,19:30,Offline
421,23,14,1,2023-02-21,21:00,Mobile
422,28,8,3,2023-11-15,14:30,Offline
423,28,15,2,2023-11-22,14:00,Online
424,13,14,3,2023-07-09,20:30,Offline
425,9,13,3,2023-10-22,19:30,Mobile
426,3,4,3,2023-11-17,15:30,Mobile
427,16,4,2,2023-11-28,22:00,Offline
428,9,3,4,2023-01-10,13:30,Online
429,23,12,4,2023-06-28,13:00,Mobile
430,17,15,4,2023-05-05,16:30,Online
431,29,4,1,2023-06-08,15:30,Online
432,10,5,2,2023-09-21,13:00,Mobile
433,11,19,3,2023-10-03,14:30,Mobile
434,12,20,3,2023-05-11,21:00,Offline
435,18,11,3,2023-01-20,19:00,Online
436,4,11,3,2023-10-17,15:00,Mobile
437,12,19,1,2023-03-27,15:30,Online
438,14,7,2,2023-10-02,10:30,Online
439,29,16,3,2023-06-15,11:30,Offline
440,21,17,3,2023-07-15,20:30,Mobile
441,5,4,3,2023-09-26,22:00,Offline
442,25,1,2,2023-02-17,16:00,Mobile
443,2,20,4,2023-10-09,22:30,Online
444,10,11,1,2023-09-11,16:30,Online
445,14,11,2,2023-10-03,13:00,Online
446,19,4,2,2023-11-26,11:30,Offline
447,30,13,1,2023-04-24,16:30,Offline
448,20,12,4,2023-09-11,16:30,Online
449,4,15,4,2023-09-26,11:30,Online
450,8,5,4,2023-12-22,19:00,Mobile
451,3,18,3,2023-01-01,14:30,Mobile
452,29,12,1,2023-09-12,19:00,Mobile
453,30,18,2,2023-04-12,20:00,Offline
454,20,15,4,2023-05-17,11:30,Online
455,13,11,2,2023-03-16,11:00,Offline
456,3,8,4,2023-04-30,21:00,Mobile
457,8,13,3,2023-07-23,10:00,Offline
458,24,16,1,2023-06-29,11:00,Mobile
459,24,2,3,2023-11-30,22:30,Mobile
460,30,16,3,2023-02-25,13:00,Offline
461,15,17,4,2023-10-11,17:30,Offline
462,6,6,4,2023-08-11,10:30,Mobile
463,28,1,1,2023-09-25,20:30,Online
464,22,14,2,2023-05-02,11:00,Online
465,18,4,3,2023-07-11,22:00,Online
466,28,19,4,2023-07-06,10:00,Mobile
467,26,16,2,2023-03-13,10:00,Online
468,11,15,2,2023-04-07,17:00,Online
469,29,6,4,2023-08-01,13:30,Mobile
470,29,1,2,2023-06-22,22:30,Offline
471,18,8,4,2023-11-25,19:00,Offline
472,25,7,3,2023-06-07,17:30,Online
473,10,4,1,2023-05-20,13:00,Mobile
474,19,1,4,2023-05-04,11:00,Offline
475,24,10,3,2023-07-15,12:00,Online
476,25,7,2,2023-06-15,18:00,Mobile
477,25,12,4,2023-02-26,12:00,Online
478,8,3,1,2023-11-29,15:00,Offline
479,26,5,4,2023-08-28,19:00,Offline
480,13,14,3,2023-07-10,11:00,Mobile
481,6,17,3,2023-04-22,17:00,Offline
482,7,6,4,2023-01-25,15:00,Mobile
483,20,4,4,2023-08-18,20:30,Online
484,29,12,4,2023-05-03,13:00,Offline
485,8,2,3,2023-12-16,19:30,Online
486,22,9,2,2023-04-26,21:00,Offline
487,16,1,3,2023-08-12,15:00,Offline
488,1,7,3,2023-10-23,19:30,Online
489,28,17,2,2023-12-15,15:30,Mobile
490,8,7,1,2023-06-27,20:00,Online
491,1,19,2,2023-09-10,12:00,Mobile
492,12,15,2,2023-07-29,18:30,Mobile
493,16,8,1,2023-09-19,21:00,Online
494,10,19,2,2023-05-27,10:30,Mobile
495,19,18,4,2023-10-14,11:30,Online
496,15,7,3,2023-04-12,12:00,Mobile
497,26,14,3,2023-01-14,13:30,Offline
498,20,19,1,2023-10-09,12:00,Offline
499,25,16,4,2023-04-25,21:00,Mobile
500,26,19,3,2023-10-04,14:00,Offline
501,29,16,1,2023-04-29,15:00,Online
502,27,13,1,2023-03-07,15:30,Online
503,20,3,2,2023-04-17,19:00,Online
504,18,4,3,2023-08-30,13:00,Offline
505,28,12,4,2023-03-17,21:30,Online
506,19,10,4,2023-07-30,21:30,Mobile
507,14,4,3,2023-01-18,11:00,Offline
508,3,13,2,2023-01-05,10:00,Online
509,15,2,4,2023-10-31,17:00,Mobile
510,12,6,1,2023-08-24,15:00,Mobile
511,1,11,2,2023-08-03,17:00,Mobile
512,16,18,1,2023-12-14,18:00,Offline
513,24,8,1,2023-06-06,22:00,Mobile
514,11,1,2,2023-06-08,16:30,Mobile
515,20,13,1,2023-06-30,14:30,Offline
516,7,2,3,2023-07-11,21:30,Online
517,24,16,4,2023-06-02,11:30,Mobile
518,25,12,2,2023-03-03,18:30,Online
519,2,6,4,2023-02-07,19:00,Online
520,9,18,1,2023-11-13,11:00,Mobile
521,10,13,4,2023-12-27,17:00,Mobile
522,14,6,3,2023-02-14,16:30,Offline
523,30,20,3,2023-12-03,21:00,Online
524,20,6,1,2023-09-09,22:30,Online
525,26,9,1,2023-12-10,19:30,Offline
526,16,13,4,2023-10-19,21:30,Mobile
527,20,17,4,2023-08-12,14:30,Mobile
528,1,9,1,2023-10-23,15:00,Offline
529,7,15,2,2023-03-22,18:00,Online
530,23,15,3,2023-08-08,19:30,Offline
531,24,3,2,2023-07-19,14:30,Online
532,7,6,3,2023-06-21,16:00,Mobile
533,16,18,1,2023-12-18,15:30,Online
534,4,4,3,2023-06-19,10:30,Offline
535,6,17,2,2023-02-06,17:30,Offline
536,11,5,3,2023-06-20,15:00,Online
537,1,9,3,2023-05-06,19:30,Mobile
538,20,4,4,2023-01-12,16:30,Mobile
539,11,5,4,2023-12-31,18:00,Offline
540,23,11,2,2023-05-17,17:00,Offline
541,30,1,3,2023-03-14,21:30,Online
542,7,20,1,2023-03-08,12:00,Online
543,26,2,4,2023-04-28,11:30,Mobile
544,13,14,1,2023-01-20,14:30,Mobile
545,16,20,3,2023-04-28,14:00,Mobile
546,13,3,2,2023-06-14,19:30,Online
547,9,18,1,2023-12-19,12:00,Offline
548,4,10,1,2023-06-15,21:30,Offline
549,27,10,1,2023-08-30,14:30,Mobile
550,26,16,3,2023-04-04,20:00,Online
551,13,14,2,2023-03-23,20:00,Offline
552,24,5,2,2023-10-27,21:30,Mobile
553,7,3,1,2023-01-01,19:30,Mobile
554,20,13,4,2023-07-28,22:00,Offline
555,17,15,3,2023-09-20,12:30,Mobile
556,28,20,4,2023-09-15,20:30,Offline
557,2,6,3,2023-11-20,16:00,Mobile
558,1,8,1,2023-10-12,21:00,Mobile
559,24,10,1,2023-04-29,16:00,Online
560,22,12,3,2023-08-20,17:30,Online
561,30,3,3,2023-10-21,13:30,Mobile
562,19,12,1,2023-01-18,19:00,Online
563,29,4,1,2023-08-09,10:30,Mobile
564,9,7,1,2023-07-30,18:30,Mobile
565,8,16,3,2023-11-06,10:30,Mobile
566,30,15,3,2023-07-13,21:00,Online
567,21,7,3,2023-12-07,11:00,Online
568,12,12,2,2023-03-12,12:00,Online
569,10,9,2,2023-07-24,18:30,Offline
570,2,10,3,2023-05-07,22:00,Mobile
571,8,12,1,2023-06-19,22:00,Mobile
572,27,12,2,2023-09-19,21:00,Mobile
573,18,18,4,2023-06-19,15:30,Online
574,13,16,4,2023-01-30,18:00,Offline
575,2,11,3,2023-09-25,11:00,Mobile
576,15,7,2,2023-02-05,17:30,Mobile
577,1,8,1,2023-02-02,15:00,Online
578,25,2,4,2023-06-09,18:00,Offline
579,5,13,1,2023-03-05,20:30,Offline
580,6,10,4,2023-05-26,17:00,Online
581,10,1,3,2023-04-14,11:30,Mobile
582,11,13,2,2023-07-01,22:30,Online
583,23,11,1,2023-12-22,18:00,Online
584,15,1,2,2023-10-29,14:30,Offline
585,15,3,3,2023-08-03,21:30,Offline
586,25,9,3,2023-03-01,20:00,Online
587,3,18,4,2023-12-06,17:30,Mobile
588,23,12,2,2023-11-29,14:30,Mobile
589,22,15,1,2023-02-02,22:00,Mobile
590,24,20,1,2023-06-24,17:00,Offline
591,3,8,2,2023-03-07,21:30,Online
592,10,3,2,2023-12-04,19:30,Offline
593,6,6,2,2023-01-12,13:00,Mobile
594,16,5,1,2023-09-17,17:00,Offline
595,30,18,1,2023-04-27,14:00,Offline
596,23,7,4,2023-08-12,14:30,Mobile
597,25,13,1,2023-01-18,12:30,Offline
598,8,7,1,2023-09-10,15:00,Offline
599,25,20,3,2023-08-15,10:00,Offline
600,10,6,2,2023-09-26,11:30,Mobile
601,19,9,2,2023-07-19,11:00,Offline
602,21,12,3,2023-07-15,19:00,Online
603,28,5,3,2023-12-24,20:00,Offline
