transaction_id,age_group,gender
443,50s+,Female
444,Teens,Male
445,Teens,Female
446,Teens,Male
447,40s,Male
448,Teens,Female
449,20s,Male
450,30s,Female
451,20s,Female
452,20s,Male
453,30s,Female
454,Teens,Male
455,20s,Female
456,40s,Male
457,50s+,Male
458,20s,Female
459,20s,Male
460,20s,Female
461,50s+,Female
462,20s,Male
463,40s,Male
464,30s,Male
465,50s+,Male
466,30s,Female
467,Teens,Female
468,30s,Male
469,Teens,Female
470,50s+,Male
471,Teens,Male
472,Teens,Male
473,Teens,Male
474,20s,Female
475,50s+,Female
476,Teens,Male
477,30s,Male
478,20s,Male
479,20s,Male
480,30s,Female
481,30s,Female
482,20s,Male
483,30s,Female
484,Teens,Female
485,Teens,Male
486,Teens,Female
487,20s,Male
488,40s,Male
489,40s,Male
490,40s,Male
491,50s+,Female
492,20s,Male
493,30s,Male
494,30s,Female
495,40s,Female
496,20s,Male
497,20s,Female
498,30s,Male
499,Teens,Male
500,30s,Female
501,50s+,Female
502,20s,Male
503,Teens,Female
504,Teens,Female
505,40s,Female
506,40s,Female
507,40s,Female
508,40s,Male
509,40s,Male
510,20s,Male
511,30s,Female
512,20s,Female
513,40s,Male
514,50s+,Female
515,Teens,Male
516,40s,Male
517,50s+,Male
518,40s,Male
519,20s,Female
520,30s,Female
521,50s+,Male
522,20s,Male
523,Teens,Female
524,20s,Male
525,20s,Female
526,20s,Female
527,40s,Female
528,40s,Female
529,50s+,Male
530,40s,Female
531,20s,Female
532,Teens,Male
533,Teens,Male
534,40s,Male
535,Teens,Male
536,50s+,Female
537,40s,Male
538,40s,Female
539,30s,Male
540,Teens,Male
541,30s,Male
542,30s,Female
543,50s+,Male
544,Teens,Female
545,50s+,Female
546,30s,Male
547,30s,Female
548,20s,Female
549,50s+,Male
550,40s,Male
551,20s,Female
552,40s,Male
553,Teens,Female
554,Teens,Female
555,20s,Female
556,30s,Female
557,30s,Female
558,Teens,Female
559,50s+,Female
560,30s,Female
561,30s,Male
562,30s,Male
563,30s,Male
564,Teens,Female
565,20s,Female
566,50s+,Female
567,Teens,Female
568,50s+,Female
569,50s+,Male
570,50s+,Male
571,30s,Male
572,50s+,Female
573,30s,Female
574,50s+,Male
575,40s,Male
576,20s,Male
577,40s,Male
578,20s,Male
579,40s,Male
580,30s,Female
581,50s+,Male
582,Teens,Female
583,20s,Male
584,50s+,Male
585,20s,Female
586,20s,Female
587,50s+,Female
588,40s,Male
589,20s,Male
590,30s,Male
591,Teens,Female
592,Teens,Male
593,Teens,Male
594,Teens,Male
595,50s+,Female
596,Teens,Female
597,50s+,Female
598,40s,Male
599,30s,Female
600,20s,Male
601,Teens,Male
602,30s,Female
603,50s+,Male
604,50s+,Male
605,40s,Female
606,30s,Female
607,50s+,Female
608,40s,Male
609,Teens,Male
610,20s,Female
611,50s+,Female
612,30s,Male
613,20s,Female
614,40s,Female
615,30s,Female
616,40s,Female
617,50s+,Male
618,40s,Male
619,Teens,Male
620,40s,Male
621,40s,Female
622,40s,Female
623,30s,Female
624,20s,Female
625,Teens,Male
626,20s,Male
627,20s,Male
628,20s,Male
629,Teens,Female
630,Teens,Male
631,50s+,Female
632,40s,Male
633,40s,Female
634,Teens,Female
635,Teens,Female
636,40s,Female
637,20s,Male
638,30s,Male
639,Teens,Male
640,Teens,Female
641,Teens,Male
642,20s,Female
643,20s,Male
644,40s,Female
645,30s,Female
646,20s,Male
647,20s,Male
648,30s,Female
649,40s,Male
650,20s,Female
651,Teens,Female
652,40s,Female
653,20s,Male
654,20s,Female
655,40s,Female
656,40s,Female
657,30s,Female
658,40s,Male
659,50s+,Male
660,Teens,Male
661,30s,Male
662,Teens,Female
663,50s+,Male
664,50s+,Male
665,50s+,Female
666,30s,Male
667,40s,Female
668,Teens,Female
669,30s,Female
670,40s,Male
671,20s,Female
672,50s+,Female
673,50s+,Female
674,30s,Female
675,20s,Female
676,20s,Female
677,20s,Female
678,50s+,Female
679,40s,Male
680,50s+,Female
681,Teens,Male
682,Teens,Female
683,Teens,Female
684,40s,Male
685,Teens,Male
686,Teens,Female
687,30s,Female
688,20s,Male
689,30s,Male
690,30s,Female
691,50s+,Male
692,Teens,Male
693,20s,Female
694,20s,Female
695,Teens,Female
696,Teens,Male
697,50s+,Male
698,Teens,Female
699,40s,Female
700,40s,Female
701,20s,Male
702,30s,Male
703,Teens,Male
704,40s,Female
705,30s,Female
706,30s,Male
707,Teens,Female
708,40s,Male
709,20s,Male
710,30s,Female
711,20s,Female
712,40s,Female
713,30s,Female
714,40s,Male
715,20s,Male
716,50s+,Male
717,30s,Female
718,40s,Female
719,20s,Male
720,Teens,Female
721,40s,Male
722,30s,Male
723,30s,Female
724,Teens,Female
725,20s,Male
726,50s+,Female
727,20s,Male
728,50s+,Male
729,50s+,Female
730,30s,Female
731,40s,Male
732,Teens,Female
733,30s,Male
734,50s+,Male
735,50s+,Female
736,50s+,Female
737,50s+,Male
738,20s,Male
739,50s+,Female
740,50s+,Female
741,Teens,Male
742,20s,Male
743,40s,Male
744,30s,Female
745,Teens,Male
746,40s,Male
747,Teens,Female
748,40s,Female
749,20s,Female
750,Teens,Female
751,Teens,Male
752,Teens,Male
753,Teens,Female
754,30s,Male
755,50s+,Male
756,50s+,Female
757,Teens,Male
758,20s,Male
759,50s+,Female
760,30s,Male
761,40s,Male
762,30s,Male
763,Teens,Female
764,30s,Male
765,50s+,Male
766,50s+,Male
767,Teens,Female
768,40s,Female
769,20s,Female
770,40s,Female
771,Teens,Female
772,50s+,Male
773,20s,Male
774,Teens,Male
775,50s+,Female
776,20s,Male
777,30s,Female
778,30s,Female
779,Teens,Female
780,30s,Male
781,40s,Male
782,20s,Female
783,20s,Male
784,40s,Female
785,40s,Female
786,20s,Female
787,20s,Male
788,40s,Male
789,20s,Male
790,20s,Female
791,40s,Female
792,30s,Female
793,20s,Female
794,20s,Female
795,20s,Male
796,Teens,Male
797,20s,Female
798,20s,Male
799,30s,Male
800,Teens,Female
801,20s,Male
802,20s,Male
803,40s,Female
804,20s,Male
805,40s,Male
806,50s+,Male
807,40s,Female
808,20s,Male
809,40s,Male
810,40s,Male
811,40s,Male
812,20s,Male
813,40s,Male
814,20s,Female
815,40s,Male
816,20s,Male
817,40s,Female
818,Teens,Male
819,Teens,Female
820,20s,Female
821,Teens,Male
822,50s+,Male
823,40s,Female
824,20s,Male
825,Teens,Female
826,50s+,Male
827,Teens,Female
828,20s,Female
829,20s,Male
830,30s,Female
831,30s,Male
832,30s,Female
833,Teens,Female
834,50s+,Male
835,30s,Female
836,Teens,Male
837,30s,Female
838,40s,Male
839,20s,Male
840,20s,Male
841,30s,Male
842,50s+,Female
843,Teens,Female
844,40s,Male
845,20s,Male
846,Teens,Female
847,30s,Male
848,50s+,Male
849,30s,Male
850,Teens,Female
851,Teens,Female
852,20s,Female
853,50s+,Male
854,50s+,Female
855,40s,Female
856,50s+,Male
857,Teens,Female
858,30s,Female
859,40s,Female
860,40s,Male
861,30s,Female
862,Teens,Male
863,50s+,Male
864,50s+,Male
865,20s,Male
866,20s,Female
867,40s,Male
868,50s+,Female
869,20s,Male
870,20s,Male
871,50s+,Female
872,30s,Female
873,30s,Male
874,30s,Male
875,40s,Male
876,20s,Female
877,50s+,Male
878,30s,Female
879,50s+,Female
880,30s,Female
881,20s,Female
882,50s+,Female
883,40s,Male
884,50s+,Male
885,30s,Male
886,Teens,Male
887,50s+,Female
888,20s,Male
889,50s+,Female
890,20s,Female
891,50s+,Female
892,Teens,Female
893,20s,Male
894,40s,Female
895,50s+,Male
896,20s,Male
897,50s+,Male
898,40s,Male
899,20s,Male
900,40s,Female
901,30s,Male
902,40s,Male
903,50s+,Female
904,40s,Male
905,30s,Male
906,40s,Male
907,40s,Male
908,Teens,Female
909,Teens,Female
910,50s+,Female
911,50s+,Female
912,20s,Female
913,50s+,Female
914,40s,Female
915,30s,Male
916,40s,Male
917,50s+,Male
918,40s,Male
919,30s,Female
920,Teens,Male
921,20s,Female
922,20s,Female
923,Teens,Male
924,40s,Female
925,30s,Female
926,20s,Male
927,30s,Male
928,20s,Male
929,30s,Male
930,40s,Male
931,50s+,Male
932,50s+,Female
933,50s+,Female
934,30s,Female
935,20s,Female
936,40s,Male
937,50s+,Male
938,Teens,Male
939,50s+,Male
940,40s,Male
941,Teens,Female
942,Teens,Male
943,40s,Female
944,Teens,Male
945,40s,Male
946,Teens,Male
947,40s,Female
948,20s,Male
949,50s+,Female
950,20s,Male
951,50s+,Female
952,20s,Female
953,20s,Female
954,Teens,Male
955,50s+,Male
956,30s,Male
957,30s,Female
958,50s+,Female
959,Teens,Male
960,30s,Male
961,20s,Male
962,Teens,Male
963,Teens,Male
964,30s,Male
965,40s,Female
966,20s,Female
967,50s+,Male
968,50s+,Female
969,20s,Male
970,Teens,Male
971,Teens,Male
972,20s,Female
973,30s,Male
974,30s,Male
975,30s,Female
976,Teens,Male
977,50s+,Male
978,30s,Female
979,Teens,Female
980,20s,Male
981,50s+,Male
982,30s,Female
983,50s+,Male
984,Teens,Female
985,20s,Male
986,50s+,Female
987,Teens,Male
988,40s,Male
989,20s,Male
990,50s+,Female
991,Teens,Female
992,40s,Female
993,Teens,Male
994,20s,Male
995,30s,Male
996,20s,Male
997,30s,Female
998,50s+,Female
999,20s,Female
1000,40s,Male
