publication_id,researcher_id,journal,impact_factor,publish_date
129,29,Elsevier,3.0,2023-04-02
130,70,PLOS ONE,4.8,2022-06-26
131,68,Nature,4.9,2021-03-24
132,76,IEEE,4.2,2023-09-07
133,80,ACM,3.6,2022-08-07
134,72,IEEE,1.8,2023-01-02
135,64,Elsevier,1.8,2023-09-24
136,55,ACM,4.0,2022-12-01
137,1,PLOS ONE,3.8,2022-09-17
138,10,IEEE,4.4,2022-08-17
139,72,Nature,4.1,2022-08-07
140,82,PLOS ONE,2.7,2021-07-09
141,10,Nature,3.1,2021-06-20
142,89,Elsevier,1.7,2022-09-18
143,86,ACM,3.0,2021-08-20
144,92,IEEE,3.1,2023-08-16
145,30,Elsevier,4.8,2022-01-22
146,70,IEEE,4.7,2021-12-12
147,10,Springer,2.8,2022-09-14
148,41,ACM,2.1,2022-10-24
149,78,ACM,3.2,2022-10-22
150,4,IEEE,1.3,2021-08-23
151,14,ACM,1.2,2023-03-11
152,81,ACM,4.8,2022-01-07
153,57,Elsevier,2.7,2023-04-16
154,86,Nature,5.0,2022-01-08
155,8,ACM,2.9,2023-08-14
156,53,Springer,2.6,2021-06-16
157,8,Springer,3.8,2022-06-03
158,50,PLOS ONE,3.3,2023-10-22
159,19,PLOS ONE,4.1,2023-01-24
160,45,Nature,4.6,2021-01-25
161,54,Elsevier,3.0,2023-10-29
162,52,Springer,1.8,2023-06-30
163,82,Springer,2.8,2021-12-14
164,39,ACM,4.7,2023-03-15
165,54,ACM,4.5,2022-04-13
166,55,Springer,4.7,2022-11-13
167,77,IEEE,2.1,2023-02-13
168,46,ACM,1.3,2023-11-20
169,13,Nature,2.9,2021-08-23
170,77,Springer,1.6,2021-04-26
171,88,Nature,2.9,2021-03-18
172,86,Springer,3.8,2022-07-27
173,86,ACM,4.7,2022-08-26
174,10,Elsevier,1.5,2023-05-03
175,3,Springer,3.9,2022-10-04
176,69,Nature,2.3,2022-03-28
177,69,Elsevier,2.1,2022-08-21
178,98,Springer,3.5,2023-07-18
179,15,PLOS ONE,4.2,2021-03-20
180,27,Springer,2.1,2021-08-17
181,57,PLOS ONE,4.4,2021-04-17
182,12,Springer,4.4,2022-06-08
183,85,PLOS ONE,4.2,2022-04-01
184,70,ACM,3.7,2023-05-09
185,56,Elsevier,3.2,2022-12-05
186,84,PLOS ONE,3.1,2021-10-13
187,64,Elsevier,1.6,2021-01-29
188,20,Springer,2.2,2021-01-28
189,77,PLOS ONE,1.1,2023-06-19
190,25,Springer,1.2,2022-11-05
191,57,Nature,1.2,2021-10-15
192,2,Springer,2.5,2023-08-17
193,83,Springer,4.0,2021-09-10
194,97,PLOS ONE,5.0,2022-05-23
195,92,PLOS ONE,3.4,2023-05-27
196,87,PLOS ONE,3.9,2023-01-08
197,67,IEEE,1.8,2021-12-31
198,51,IEEE,4.6,2023-05-24
199,66,PLOS ONE,1.7,2021-09-18
200,70,PLOS ONE,3.7,2021-07-14
201,93,IEEE,4.4,2022-06-19
202,93,Springer,1.4,2023-04-14
203,83,ACM,1.1,2021-11-02
204,96,Springer,1.7,2021-01-25
205,15,IEEE,1.8,2023-11-03
206,26,IEEE,2.0,2023-02-09
207,34,PLOS ONE,2.1,2021-04-10
208,88,Elsevier,2.2,2023-10-03
209,79,Springer,1.4,2023-08-07
210,98,ACM,2.7,2021-06-16
211,20,PLOS ONE,4.1,2023-04-16
212,41,Elsevier,4.1,2023-07-27
213,85,PLOS ONE,2.2,2021-03-29
214,47,PLOS ONE,3.7,2021-03-18
215,9,ACM,4.2,2023-04-17
216,47,ACM,2.1,2023-08-27
217,95,IEEE,4.6,2023-09-10
218,3,IEEE,3.3,2021-03-30
219,74,Nature,2.4,2021-12-15
220,68,IEEE,4.6,2023-12-04
221,99,ACM,2.9,2022-08-20
222,50,Elsevier,4.0,2023-04-14
223,7,IEEE,2.9,2023-09-07
224,5,Nature,2.3,2022-03-11
225,83,Springer,1.8,2022-05-08
226,60,Nature,1.9,2022-04-18
227,24,IEEE,4.0,2022-01-21
228,18,Elsevier,5.0,2022-04-09
229,74,Nature,1.9,2022-03-24
230,49,Nature,2.4,2023-03-31
231,1,ACM,4.4,2021-05-23
232,29,Nature,4.9,2021-07-12
233,66,Nature,4.8,2021-09-22
234,54,Elsevier,3.4,2023-06-07
235,41,PLOS ONE,2.0,2021-04-19
236,46,Elsevier,2.4,2023-10-30
237,23,Nature,3.8,2023-03-18
238,5,Elsevier,4.9,2021-05-02
239,17,Nature,3.5,2021-07-29
240,80,Elsevier,4.7,2021-11-06
241,54,IEEE,5.0,2021-12-24
242,2,ACM,3.9,2022-01-13
243,5,Springer,4.9,2021-05-10
244,65,Springer,2.7,2021-10-03
245,4,Elsevier,1.1,2021-03-06
246,37,Elsevier,3.9,2021-06-20
247,33,ACM,2.6,2022-08-21
248,15,PLOS ONE,4.3,2023-03-29
249,40,Elsevier,4.8,2022-12-30
250,93,Springer,2.1,2022-06-25
251,10,PLOS ONE,3.9,2023-08-27
252,73,ACM,3.5,2022-01-26
253,2,IEEE,1.3,2023-03-09
254,61,ACM,2.6,2023-01-01
255,89,Nature,4.2,2023-09-18
256,20,Elsevier,3.4,2023-04-11
257,90,PLOS ONE,1.3,2021-04-23
258,50,PLOS ONE,3.2,2022-06-23
259,80,Springer,1.1,2022-01-21
260,77,Elsevier,4.4,2021-10-06
261,29,Nature,1.1,2021-04-24
262,14,IEEE,1.0,2022-01-10
263,97,IEEE,4.9,2021-02-16
264,100,PLOS ONE,1.8,2023-07-03
265,70,Elsevier,2.2,2023-08-23
266,33,Springer,2.5,2022-04-07
267,62,Elsevier,1.5,2022-01-21
268,12,PLOS ONE,4.4,2022-10-19
269,71,PLOS ONE,2.9,2021-05-20
270,10,IEEE,2.4,2021-05-13
271,74,Elsevier,3.3,2022-03-22
272,2,Elsevier,4.7,2022-11-01
273,57,Nature,4.8,2023-08-29
274,99,IEEE,4.9,2021-07-11
275,5,Nature,2.8,2021-07-01
276,14,IEEE,3.5,2023-08-05
277,88,Elsevier,4.8,2021-04-28
278,42,Nature,1.0,2021-05-28
279,54,Nature,1.1,2022-03-06
280,90,IEEE,4.9,2023-04-29
281,64,Nature,3.8,2023-12-04
282,60,ACM,3.9,2023-09-28
283,32,PLOS ONE,3.8,2021-06-01
284,58,ACM,3.0,2023-09-17
285,94,PLOS ONE,1.2,2023-01-17
286,58,ACM,4.1,2023-05-28
287,49,IEEE,1.5,2022-10-29
288,25,PLOS ONE,2.8,2021-12-15
289,56,Elsevier,4.5,2023-05-15
290,87,IEEE,2.2,2022-11-06
291,97,IEEE,4.0,2023-10-12
292,52,IEEE,2.9,2022-07-09
293,87,Nature,1.7,2023-05-01
294,16,Nature,1.4,2023-11-16
295,63,PLOS ONE,1.4,2023-06-13
296,15,IEEE,1.4,2022-06-29
297,36,PLOS ONE,3.0,2023-01-04
298,9,IEEE,3.2,2022-01-17
299,7,Elsevier,2.4,2022-01-11
300,76,Elsevier,4.5,2022-01-31
