project_id,researcher_id,start_date,end_date,role
57,15,2022-11-30,2023-11-23,PM
58,12,2023-01-28,2023-07-21,PM
59,22,2022-04-25,2022-07-12,PM
60,40,2022-08-06,2022-12-31,PM
61,28,2023-08-23,2024-06-20,Member
62,19,2022-04-24,2022-08-02,PM
63,18,2023-07-13,2024-01-23,Member
64,59,2023-09-09,2024-04-05,PM
65,98,2022-07-18,2022-08-30,Member
66,26,2022-06-03,2022-10-14,PM
67,13,2022-12-19,2023-04-09,PM
68,17,2022-01-22,2022-06-01,PM
69,59,2023-07-20,2023-09-19,Member
70,8,2023-04-06,2023-07-11,PM
71,74,2023-08-07,2023-10-21,PM
72,15,2022-06-08,2023-03-27,PM
73,56,2023-10-28,2024-06-14,PM
74,28,2022-04-05,2022-06-14,Member
75,96,2022-06-11,2023-02-08,PM
76,3,2023-12-01,2024-02-21,PM
77,58,2023-01-01,2023-04-04,Member
78,94,2022-10-09,2023-10-01,Member
79,51,2022-01-07,2022-07-09,PM
80,76,2023-02-22,2023-08-05,PM
81,51,2022-02-10,2022-07-30,Member
82,49,2022-04-25,2023-03-13,PM
83,6,2023-11-24,2024-10-25,Member
84,90,2023-04-27,2024-04-12,Member
85,83,2022-07-05,2023-05-14,Member
86,73,2023-11-25,2024-07-08,PM
87,82,2022-09-14,2023-07-14,Member
88,77,2022-03-29,2022-08-29,PM
89,75,2023-07-21,2024-04-11,PM
90,12,2023-03-11,2024-02-15,PM
91,5,2022-03-01,2022-08-05,PM
92,88,2022-10-03,2023-08-05,PM
93,40,2023-07-20,2024-04-28,Member
94,79,2022-01-13,2022-07-04,Member
95,90,2022-10-17,2023-03-29,PM
96,4,2022-02-16,2022-07-30,Member
97,76,2022-04-11,2022-11-05,Member
98,29,2023-04-07,2024-01-13,Member
99,24,2022-01-19,2022-10-29,Member
100,20,2023-02-25,2023-10-23,Member
101,48,2023-08-01,2023-11-26,PM
102,63,2022-03-20,2023-02-28,PM
103,27,2022-03-25,2022-12-11,Member
104,83,2022-07-05,2023-01-10,PM
105,58,2022-06-29,2022-12-28,PM
106,66,2023-12-11,2024-05-02,PM
107,19,2022-08-11,2023-02-13,Member
108,76,2023-01-09,2023-02-20,Member
109,52,2022-01-09,2022-08-21,Member
110,4,2023-09-17,2024-04-29,Member
111,73,2023-08-25,2024-08-10,Member
112,36,2022-01-20,2022-03-26,Member
113,47,2022-02-18,2022-11-21,PM
114,79,2023-03-30,2023-08-19,PM
115,58,2023-07-12,2024-02-14,PM
116,72,2023-08-23,2023-12-21,Member
117,38,2022-01-22,2022-06-18,PM
118,64,2022-06-20,2023-02-15,PM
119,65,2022-04-23,2022-10-27,Member
120,59,2023-03-26,2024-01-07,PM
121,94,2023-08-20,2024-04-19,Member
122,9,2023-10-20,2024-01-21,Member
123,67,2023-10-24,2024-08-12,Member
124,73,2022-03-01,2022-08-18,Member
125,82,2022-10-04,2023-02-28,Member
126,99,2023-12-25,2024-10-20,Member
127,55,2023-11-03,2024-01-20,Member
128,17,2022-04-06,2022-05-21,PM
129,24,2022-06-02,2023-04-23,PM
130,4,2023-11-28,2024-07-24,Member
131,9,2022-02-11,2022-07-28,PM
132,53,2023-05-31,2023-12-12,PM
133,23,2022-09-28,2023-07-05,PM
134,66,2022-06-01,2023-03-02,Member
135,34,2023-02-07,2023-09-06,PM
136,3,2022-01-31,2022-12-03,PM
137,48,2023-10-14,2024-04-11,PM
138,63,2023-06-13,2023-11-06,PM
139,31,2022-05-25,2022-12-13,Member
140,65,2022-09-04,2023-08-16,PM
141,75,2022-01-11,2022-12-15,Member
142,9,2023-09-24,2024-01-02,Member
143,95,2022-03-29,2022-07-14,PM
144,65,2023-08-29,2024-04-23,Member
145,69,2022-05-01,2022-07-22,Member
146,17,2022-03-10,2022-08-25,Member
147,45,2022-02-09,2022-08-27,Member
148,3,2022-03-11,2022-05-20,PM
149,94,2023-10-28,2024-04-06,Member
150,92,2022-01-07,2022-05-05,PM
151,50,2022-01-22,2022-11-13,PM
152,92,2022-08-14,2023-03-29,PM
153,24,2022-05-10,2023-01-13,Member
154,48,2023-04-10,2023-10-18,Member
155,61,2022-07-02,2023-02-28,PM
156,7,2022-04-19,2022-12-26,PM
157,50,2023-05-17,2023-12-28,Member
158,100,2023-09-27,2024-07-21,PM
159,15,2022-06-09,2023-01-28,Member
160,56,2023-05-20,2023-08-19,Member
161,24,2023-05-22,2024-03-20,Member
162,15,2022-06-03,2023-05-13,Member
163,49,2022-05-27,2023-05-10,Member
164,25,2023-11-11,2024-02-29,PM
165,60,2022-07-16,2023-02-16,Member
166,58,2022-08-14,2023-04-27,Member
167,18,2023-04-13,2023-06-07,Member
168,8,2022-04-02,2023-01-18,PM
169,5,2023-03-17,2023-05-18,PM
170,43,2022-10-29,2023-09-11,PM
171,82,2022-06-23,2023-01-05,Member
172,7,2023-05-16,2023-10-30,PM
173,18,2022-11-29,2023-01-21,Member
174,80,2023-12-29,2024-08-28,Member
175,13,2022-08-03,2023-01-20,PM
176,23,2023-04-07,2023-06-28,Member
177,91,2023-11-13,2024-04-18,PM
178,34,2022-06-20,2023-01-06,PM
179,64,2023-02-19,2023-03-31,PM
180,66,2023-04-26,2023-11-07,PM
181,8,2022-03-15,2023-02-01,Member
182,5,2022-09-09,2023-03-28,PM
183,78,2023-10-06,2024-04-06,Member
184,55,2022-08-27,2023-05-05,Member
185,60,2023-01-29,2023-03-22,Member
186,33,2023-05-21,2023-11-18,Member
187,4,2022-10-14,2023-06-11,PM
188,34,2022-12-07,2023-09-02,Member
189,24,2022-07-11,2023-02-03,Member
190,21,2023-02-25,2023-04-21,Member
191,42,2022-08-04,2023-04-07,Member
192,17,2023-06-14,2024-01-16,Member
193,52,2023-08-16,2023-11-25,PM
194,56,2022-04-22,2023-01-07,Member
195,75,2023-08-24,2024-01-01,PM
196,74,2022-11-10,2023-01-30,Member
197,55,2023-05-08,2023-08-19,PM
198,72,2022-07-16,2023-06-15,Member
199,61,2023-08-19,2024-03-20,Member
200,22,2023-02-23,2023-08-31,PM
